ID,Name,Typ,Verein,Jugendverein,Land,Am,MW,Einsatz
fcb1,Manuel Neuer,1,fcb,gelj,,,J,1
fcb2,Dayot Upamecano,1,fcb,vafc,,,K,1
fcb4,Mathijs de Ligt,1,fcb,aja,,,L,1
fcb5,Benjamin Pavard,1,fcb,lil,,,J,1
fcb6,Joshua Kimmich,1,fcb,vfbj,,,L,1
fcb7,Serge Gnabry,1,fcb,ars,,,L,1
fcb8,Leon Goretzka,1,fcb,bocj,,,L,1
fcb10,Leroy Sane,1,fcb,gelj,,,L,1
fcb11,Kingsley Coman,1,fcb,psg,,,L,1
fcb13,Eric Maxim Choupo Moting,1,fcb,hsv,,,D,1
fcb14,Paul Wanner,1,fcb,fcb,,,B,1
fcb17,Sadio Mane,1,fcb,foot,,,L,1
fcb19,Alphonso Davies,1,fcb,vanw,,,L,1
fcb20,Bouna Sarr,1,fcb,met,,,D,1
fcb21,Lucas Hernandez,1,fcb,atm,,,L,1
fcb22,Joao Cancelo,1,fcb,ben,,,L,1
fcb23,Daley Blind,1,fcb,aja,,,G,1
fcb25,Thomas Mueller,1,fcb,fcbj,,,L,1
fcb26,Sven Ulreich,1,fcb,vfbj,,,D,1
fcb27,Yann Sommer,1,fcb,bas,,,E,1
fcb38,Ryan Gravenberch,1,fcb,aja,,,I,1
fcb39,Mathys Tel,1,fcb,ren,,,F,1
fcb40,Noussair Mazraoui,1,fcb,aja,,,H,1
fcb42,Jamal Musiala,1,fcb,fcbj,,,L,1
fcb44,Josip Stanisic,1,fcb,fcbj,,,D,1
fcu1,Frederik Roennow,1,fcu,hors,,,B,1
fcu2,Morten Thorsby,1,fcu,stab,,,C,1
fcu3,Paul Jaeckel,1,fcu,wobj,,,C,1
fcu4,Diogo Leite,1,fcu,prt,,,D,1
fcu5,Danilho Doekhi,1,fcu,aja,,,B,1
fcu7,Levin Oeztunali,1,fcu,hsv,,,C,1
fcu8,Rani Khedira,1,fcu,vfbj,,,D,1
fcu11,Sven Michel,1,fcu,nied,,,A,1
fcu13,Andras Schaefer,1,fcu,mtk,,,B,1
fcu14,Paul Seguin,1,fcu,wobj,,,A,1
fcu16,Tim Maciejewski,1,fcu,fcuj,,,A,1
fcu17,Kevin Behrens,1,fcu,svwj,,,A,1
fcu19,Jannik Haberer,1,fcu,uha,,,D,1
fcu23,Niko Giesselmann,1,fcu,han,,,B,1
fcu25,Timo Baumgartl,1,fcu,vfbj,,,E,1
fcu26,Jerome Rousillon,1,fcu,soc,,,F,1
fcu27,Sheraldo Becker,1,fcu,aja,,,E,1
fcu28,Christopher Trimmel,1,fcu,hori,,,A,1
fcu30,Kevin Moehwald,1,fcu,rwer,,,B,1
fcu31,Robin Knoche,1,fcu,wobj,,,E,1
fcu32,Milos Pantovic,1,fcu,fcbj,,,A,1
fcu37,Lennart Grill,1,fcu,fck,,,A,1
fcu40,Jamie Leweling,1,fcu,fur,,,B,1
fcu45,Jordan Siebatcheu,1,fcu,reim,,,D,1
fcu18,Josip Juranovic,1,fcu,nkd,,,D,1
fcu20,Aissa Laidouni,1,fcu,asco,,,B,1
