ID,Name,Typ,Verein,Jugendverein,MW,Einsatz
fcu1,Frederik Roennow,1,fcu,hors,B,1
fcu2,Morten Thorsby,1,fcu,stab,C,1
fcu3,Paul Jaeckel,1,fcu,wobj,C,1
fcu4,Diogo Leite,1,fcu,prt,D,1
fcu5,Danilho Doekhi,1,fcu,aja,B,1
fcu7,Levin Oeztunali,1,fcu,hsv,C,1
fcu8,Rani Khedira,1,fcu,vfbj,D,1
fcu11,Sven Michel,1,fcu,nied,A,1
fcu13,Andras Schaefer,1,fcu,mtk,B,1
fcu14,Paul Seguin,1,fcu,wobj,A,1
fcu16,Tim Maciejewski,1,fcu,fcuj,A,1
fcu17,Kevin Behrens,1,fcu,svwj,A,1
fcu19,Jannik Haberer,1,fcu,uha,D,1
fcu23,Niko Giesselmann,1,fcu,han,B,1
fcu25,Timo Baumgartl,1,fcu,vfbj,E,1
fcu26,Jerome Rousillon,1,fcu,soc,F,1
fcu27,Sheraldo Becker,1,fcu,aja,E,1
fcu28,Christopher Trimmel,1,fcu,hori,A,1
fcu30,Kevin Moehwald,1,fcu,rwer,B,1
fcu31,Robin Knoche,1,fcu,wobj,E,1
fcu32,Milos Pantovic,1,fcu,fcbj,A,1
fcu37,Lennart Grill,1,fcu,fck,A,1
fcu40,Jamie Leweling,1,fcu,fur,B,1
fcu45,Jordan Siebatcheu,1,fcu,reim,D,1
fcu18,Josip Juranovic,1,fcu,nkd,D,1
fcu20,Aissa Laidouni,1,fcu,asco,B,1
hors,AC Horsens,2,NA,NA,NA,NA
stab,Stabaek IF,2,NA,NA,NA,NA
wobj,VfL Wolfsburg Jugend,2,NA,NA,NA,NA
prt,FC Porto,2,NA,NA,NA,NA
aja,Ajax Amsterdam,2,NA,NA,NA,NA
hsv,Hamburger SV,2,NA,NA,NA,NA
vfbj,VfB Stuttgart Jugend,2,NA,NA,NA,NA
nied,SuS Niederschelden,2,NA,NA,NA,NA
mtk,MTK Budapest,2,NA,NA,NA,NA
fcuj,Union Berlin Jugend,2,NA,NA,NA,NA
svwj,SV Werder Bremen Jugend,2,NA,NA,NA,NA
uha,SpVgg Unterhaching,2,NA,NA,NA,NA
han,Hannover 96,2,NA,NA,NA,NA
soc,FC Sochaux,2,NA,NA,NA,NA
hori,ASK Horitschon,2,NA,NA,NA,NA
rwer,Rot Weiss Erfurt,2,NA,NA,NA,NA
fcbj,FC Bayern Jugend,2,NA,NA,NA,NA
fck,1. FC Kaiserslautern,2,NA,NA,NA,NA
fur,SpVgg Greuther Fuerth,2,NA,NA,NA,NA
reim,Stade Reims,2,NA,NA,NA,NA
nkd,NK Dubrava,2,NA,NA,NA,NA
asco,Angers SCO,2,NA,NA,NA,NA
fcu,1. FC Union Berlin,2,NA,NA,NA,NA
bl,Bundesliga,3,NA,NA,NA,NA
